offer_id,budget_tier,upgrade_tier,days_to_arrival,was_accepted,revenue_lift
ae336eb7,mid,premium,11,0,900
03be672a,budget,mid,8,0,720
f67acffe,budget,premium,10,0,1200
5236a4db,budget,premium,15,0,1200
d9e71a96,mid,premium,19,0,900
e76256fe,budget,mid,7,0,720
ff365b59,mid,premium,20,0,900
74aff622,budget,premium,14,1,1200
c10ca8cf,budget,mid,9,0,720
ff266efa,budget,premium,10,0,1200
f2bdc4e0,budget,premium,11,0,1200
caaf7eb2,budget,mid,11,0,720
346ca1c3,budget,premium,10,0,1200
1158b8af,budget,mid,8,0,720
b339a522,budget,premium,17,0,1200
ad67bfa3,mid,premium,19,0,900
810bf572,budget,mid,10,1,720
77ff90a7,budget,premium,19,0,1200
87e14a50,budget,mid,11,0,720
4a7f1c25,budget,premium,10,1,1200
8c0b85b2,budget,premium,18,0,1200
859cb302,mid,premium,16,0,900
cdce09a9,budget,premium,10,0,1200
55c210bb,budget,premium,18,0,1200
76c9fa4b,budget,premium,9,0,1200
975a4fa3,budget,premium,10,0,1200
93e1d794,mid,premium,15,0,900
e7626e80,mid,premium,15,0,900
a2f25c68,budget,mid,8,0,720
7fbe38e9,budget,mid,7,1,720
4872c13f,mid,premium,17,1,900
e52f03c1,budget,mid,12,0,720
1a67aeaa,budget,premium,15,1,1200
ad20d4f7,budget,premium,15,0,1200
11b16524,budget,premium,8,0,1200
a395bbda,budget,premium,10,0,1200
f341578d,budget,mid,8,1,720
6dc16a10,budget,premium,14,0,1200
be10c18b,mid,premium,15,1,900
5e7b3aa7,budget,mid,11,1,720
9141ce3d,budget,premium,19,1,1200
314b1a00,budget,mid,5,0,720
515d64e7,mid,premium,17,0,900
6b0134a3,budget,premium,9,0,1200
eddf566a,mid,premium,19,1,900
b27c72c4,mid,premium,18,0,900
a784708e,mid,premium,20,0,900
3ced3b0f,budget,mid,6,0,720
b84ba6dd,mid,premium,22,0,900
af95cc49,mid,premium,16,0,900
8d55aaff,mid,premium,15,1,900
627142c5,mid,premium,14,0,900
50daaee7,budget,mid,4,0,720
af93f3dd,budget,mid,12,0,720
3b78f2a8,mid,premium,19,0,900
702c698b,budget,mid,9,1,720
c4f98863,mid,premium,19,0,900
c6a10bad,budget,mid,11,1,720
d7aaeefd,budget,mid,12,0,720
838fd05b,budget,mid,8,0,720
b9820828,mid,premium,16,0,900
f45e499a,mid,premium,11,0,900
ad1b5944,budget,mid,6,0,720
c1209372,budget,premium,17,0,1200
194a14f4,budget,mid,7,0,720
ee268ad9,budget,mid,6,0,720
8d3c2ff3,budget,premium,15,0,1200
1f795944,budget,mid,6,0,720
60b5252a,budget,mid,10,0,720
16d56f11,budget,premium,13,0,1200
622579ea,budget,mid,12,0,720
f0034e2b,budget,premium,17,0,1200
f0bf3fe4,budget,mid,5,0,720
32f70655,budget,mid,11,0,720
b5db22ae,budget,premium,10,0,1200
6e4279c2,budget,premium,11,1,1200
80be37ff,budget,premium,12,1,1200
4f423efa,budget,premium,14,0,1200
0a82f148,mid,premium,17,0,900
dc334b0b,budget,mid,9,1,720
959496cd,budget,mid,6,0,720
aad91d53,budget,premium,19,0,1200
0fca7fbf,budget,mid,10,0,720
693bedbc,budget,mid,12,0,720
2484f188,budget,premium,11,0,1200
ef10209b,budget,premium,15,0,1200
b5266688,budget,premium,9,0,1200
c6c87a9a,budget,premium,9,0,1200
9a12391a,budget,premium,12,0,1200
8f89cd58,mid,premium,10,0,900
4a7ef132,budget,mid,8,1,720
465cf698,budget,premium,15,1,1200
d1f20e6e,budget,premium,19,0,1200
b603c69a,budget,mid,9,0,720
566e7ccb,mid,premium,23,0,900
24e334e6,budget,mid,5,0,720
7e39ae22,budget,mid,6,1,720
c29d43d2,mid,premium,25,0,900
f0b8c79a,mid,premium,18,0,900
cee245a1,budget,mid,12,0,720
d24b4f4f,budget,premium,12,0,1200
6e4babec,budget,mid,4,0,720
22fcdda0,budget,premium,13,0,1200
109c8c71,budget,premium,18,0,1200
0a539c47,budget,premium,16,1,1200
57e04f27,mid,premium,11,1,900
ff2b0b57,budget,mid,4,0,720
011e88b6,budget,premium,18,0,1200
fb64b9b4,mid,premium,24,1,900
93196e28,budget,mid,6,0,720
70e27480,budget,premium,20,1,1200
7a861348,mid,premium,25,0,900
65605cdc,budget,mid,12,0,720
5d4afe72,budget,mid,4,1,720
a9c9fca8,mid,premium,14,0,900
a541414b,budget,premium,8,0,1200
bdf3cec6,budget,premium,20,0,1200
69818d55,budget,mid,5,0,720
a63631a4,budget,mid,10,0,720
619482f1,mid,premium,18,0,900
c922919b,budget,mid,8,0,720
e763a147,mid,premium,19,1,900
df00f67f,mid,premium,23,0,900
f3cdd974,budget,premium,9,0,1200
fb464060,mid,premium,24,1,900
b1f2b937,budget,premium,9,0,1200
30481395,mid,premium,18,0,900
4ca4bc0a,budget,premium,16,0,1200
05df51a8,mid,premium,11,1,900
1696a15d,budget,mid,10,0,720
3fa82d15,budget,premium,16,1,1200
8e28110d,budget,mid,10,0,720
0de457cf,budget,mid,4,0,720
8628ab46,mid,premium,15,0,900
a9b1a62a,mid,premium,16,0,900
ed3dfa03,mid,premium,22,1,900
92287782,budget,premium,11,0,1200
71847e22,budget,mid,10,0,720
9caacb1a,budget,premium,18,0,1200
373a8dc8,mid,premium,19,0,900
d3a3a88c,budget,premium,14,0,1200
14f7372f,budget,mid,9,0,720
ec064c60,budget,premium,18,0,1200
b2c42b36,mid,premium,14,0,900
8ebdc5d7,budget,mid,6,0,720
3fafceb9,budget,premium,19,0,1200
6798c405,mid,premium,11,1,900
b5e020b7,mid,premium,13,1,900
240aa373,mid,premium,18,1,900
07d786de,budget,mid,7,0,720
f6af5b13,mid,premium,19,0,900
c17d41eb,budget,premium,13,0,1200
c6a0d5a2,budget,premium,17,0,1200
5b74be01,budget,mid,6,0,720
aa2f8338,budget,premium,19,0,1200
184f3db0,mid,premium,25,0,900
d9d6717e,budget,premium,16,0,1200
97be1077,budget,mid,6,1,720
b703055e,budget,premium,20,0,1200
0d5df0ea,mid,premium,14,1,900
f96589b2,budget,mid,7,1,720
62f0dd06,budget,mid,5,0,720
6b98177a,budget,premium,14,0,1200
74b5a090,budget,premium,9,0,1200
c97292bf,budget,premium,18,0,1200
6f6ee000,budget,premium,17,0,1200
9d77c25d,mid,premium,23,0,900
a1361037,budget,premium,12,1,1200
5e7c6b4d,budget,mid,5,0,720
75b2a7bd,budget,mid,8,1,720
dbe1b383,budget,premium,12,0,1200
5e6f8217,budget,premium,10,0,1200
53a91dc7,budget,premium,18,0,1200
edeedff7,budget,mid,7,1,720
03f8b387,budget,mid,10,1,720
bfb03eab,budget,premium,11,0,1200
b32b65fe,budget,mid,9,0,720
1a1d75fc,budget,mid,6,0,720
78ae30f2,budget,premium,13,1,1200
069c5ff8,mid,premium,24,0,900
e0201775,budget,premium,8,0,1200
95cd2407,budget,mid,4,0,720
5e0cfa4c,mid,premium,17,0,900
a1787cb1,budget,mid,10,0,720
334095a9,mid,premium,21,0,900
08c269ff,budget,premium,20,0,1200
096889ab,mid,premium,15,0,900
139f8f25,budget,mid,8,1,720
e3582a06,budget,premium,13,0,1200
75d1c604,budget,premium,16,1,1200
8a8a6c6e,budget,premium,15,0,1200
adee2705,budget,mid,9,1,720
b50c37a1,mid,premium,25,0,900
52fbf0a0,budget,mid,9,0,720
f5f2e8cb,budget,mid,11,0,720
6ac5f3af,budget,premium,12,0,1200
2bea837e,budget,premium,15,0,1200
e692d759,mid,premium,19,1,900
b194710b,budget,premium,15,0,1200
8f339da3,budget,premium,11,0,1200
cd7da213,budget,premium,13,0,1200
1c0f6e29,mid,premium,20,0,900
fd6c5ad0,budget,premium,16,0,1200
82beba09,budget,premium,18,0,1200
e35903ae,budget,premium,20,0,1200
125bc8a8,budget,mid,6,1,720
76456c07,mid,premium,23,0,900
0392ccad,mid,premium,19,1,900
229793c1,budget,mid,7,0,720
53d6b7d8,mid,premium,20,0,900
fc0fc601,mid,premium,13,1,900
f987fbbb,budget,mid,4,0,720
b161f21d,budget,mid,4,0,720
b75d8300,budget,premium,18,0,1200
3cdcac19,budget,premium,12,0,1200
3cfd0628,budget,mid,9,0,720
7a37f208,budget,mid,10,1,720
44402600,budget,premium,13,0,1200
bc88941c,budget,mid,6,0,720
0d78bbee,budget,premium,16,1,1200
68340e24,budget,mid,7,1,720
e32fccb9,mid,premium,11,0,900
a4c4d009,budget,premium,10,0,1200
153a3370,budget,premium,17,0,1200
454510d4,budget,mid,9,1,720
2db54f92,mid,premium,25,0,900
6960ab0b,mid,premium,10,0,900
acbba09e,mid,premium,11,0,900
bf773170,mid,premium,11,0,900
0bc022d2,budget,mid,12,0,720
8213d5b7,budget,premium,18,1,1200
5225d697,mid,premium,12,0,900
3ca06596,budget,mid,10,1,720
bca7d2d8,budget,mid,4,0,720
58e24b71,budget,premium,17,0,1200
480062be,budget,mid,8,0,720
edd4e306,mid,premium,10,1,900
f6a08bae,budget,premium,15,0,1200
3d0a68a3,budget,premium,13,0,1200
b532bd02,budget,premium,11,1,1200
44eb643d,budget,premium,16,0,1200
eb29980d,budget,premium,20,0,1200
c40e5b44,mid,premium,25,0,900
6c532bac,budget,mid,11,0,720
d736bf28,budget,mid,6,0,720
255c7423,mid,premium,12,0,900
bde4e6f7,budget,mid,10,0,720
5d7e0afa,budget,premium,12,0,1200
fafecbd9,budget,premium,8,0,1200
703cb32d,mid,premium,17,0,900
3eb0ac44,mid,premium,22,0,900
8f335d80,budget,mid,8,1,720
8019fcff,mid,premium,17,0,900
a1824b99,budget,premium,17,0,1200
112ee3b4,budget,mid,8,1,720
374b4d86,mid,premium,17,1,900
aa611543,budget,premium,14,0,1200
699bafd1,budget,premium,10,0,1200
2a7418dc,budget,mid,6,0,720
cb227aa7,budget,mid,5,0,720
c83ec1a7,budget,premium,14,0,1200
fb31529e,budget,mid,10,0,720
33fc08fa,budget,mid,11,1,720
dc3bac12,budget,mid,4,1,720
dd1a987e,mid,premium,15,1,900
9ffceea6,budget,mid,9,0,720
c5e67001,budget,premium,16,0,1200
ed0320ab,mid,premium,21,0,900
68f46265,budget,premium,9,0,1200
3023af67,budget,mid,6,0,720
d2260aa4,mid,premium,22,0,900
a84d83f7,budget,premium,8,0,1200
9a1e027c,mid,premium,10,0,900
c27b3ff8,mid,premium,25,0,900
2b24594b,budget,premium,19,0,1200
b863eecc,budget,mid,10,1,720
4c4a8495,budget,premium,18,0,1200
0f27edce,budget,premium,12,1,1200
7e827139,mid,premium,23,0,900
7cfdc6dd,budget,premium,18,0,1200
fbce743c,budget,premium,13,0,1200
51dd872b,mid,premium,24,1,900
8d5740f6,budget,mid,10,0,720
e5ef5ccc,budget,premium,17,0,1200
699cb8ae,budget,mid,12,0,720
f7d2c4e6,mid,premium,25,0,900
58b10032,budget,mid,10,0,720
66cf062a,budget,mid,6,0,720
6b724f21,budget,premium,10,1,1200
8e1c8818,budget,premium,15,0,1200
a0c2a7c4,budget,premium,9,0,1200
