prop_id,tier,lead_time_days,adr
5,budget,30,137
1,budget,39,154
5,budget,16,146
2,budget,33,129
2,budget,22,132
2,budget,34,104
2,budget,23,122
3,budget,41,123
3,budget,9,167
1,budget,10,131
3,budget,21,113
1,budget,38,100
1,budget,26,122
3,budget,11,113
3,budget,26,131
1,budget,2,146
1,budget,32,152
4,budget,4,112
5,budget,13,118
3,budget,37,131
3,budget,7,165
4,budget,42,149
5,budget,40,101
2,budget,17,127
2,budget,36,119
1,budget,45,114
3,budget,38,140
2,budget,33,152
5,budget,25,149
4,budget,37,122
3,budget,34,125
5,budget,6,149
4,budget,33,171
4,budget,9,180
1,budget,40,179
2,budget,32,180
4,budget,17,167
2,budget,16,139
2,budget,37,104
4,budget,20,171
1,budget,26,175
1,budget,35,170
4,budget,33,129
4,budget,18,168
4,budget,13,165
2,budget,34,138
3,budget,28,112
4,budget,31,137
2,budget,17,142
5,budget,30,103
2,budget,20,166
3,budget,23,176
2,budget,35,177
1,budget,16,118
4,budget,42,115
5,budget,41,106
5,budget,39,170
2,budget,28,132
3,budget,12,116
4,budget,31,147
2,budget,32,105
2,budget,45,179
5,budget,42,139
4,budget,3,101
4,budget,39,174
1,budget,42,165
1,budget,10,116
3,budget,36,125
1,budget,3,180
1,budget,35,108
4,budget,9,127
4,budget,45,159
5,budget,24,122
2,budget,4,132
2,budget,30,111
4,budget,20,139
4,budget,39,158
3,budget,35,158
1,budget,35,153
5,budget,32,175
5,budget,31,119
5,budget,32,154
1,budget,44,166
5,budget,33,118
1,budget,41,122
5,budget,34,155
2,budget,44,109
2,budget,20,136
4,budget,8,110
5,budget,7,136
5,budget,36,120
5,budget,23,139
3,budget,38,157
5,budget,45,116
3,budget,45,103
5,budget,33,121
2,budget,18,149
1,budget,8,131
2,budget,27,104
2,budget,42,137
5,budget,35,179
2,budget,6,177
4,budget,38,100
1,budget,42,123
3,budget,21,100
2,budget,12,120
3,budget,33,127
2,budget,26,178
1,budget,42,112
5,budget,40,172
2,budget,42,145
3,budget,4,175
3,budget,41,166
2,budget,18,149
4,budget,16,116
2,budget,17,112
5,budget,18,102
2,budget,40,171
4,budget,32,135
3,budget,42,173
4,budget,43,136
1,budget,41,118
5,budget,19,136
4,budget,16,117
2,budget,27,147
4,budget,20,132
5,budget,21,175
2,budget,39,158
1,budget,25,109
1,budget,3,116
1,budget,6,160
4,budget,2,137
4,budget,18,130
1,budget,20,108
1,budget,44,137
2,budget,18,164
5,budget,5,148
4,budget,5,173
4,budget,22,166
5,budget,34,175
2,budget,39,104
4,budget,44,152
3,budget,24,170
4,budget,4,157
2,budget,19,109
3,budget,13,136
3,budget,16,120
5,budget,30,147
4,budget,4,140
5,budget,26,112
5,budget,10,169
1,budget,29,121
3,budget,23,165
4,budget,24,104
4,budget,36,173
3,budget,15,148
1,budget,43,177
1,budget,42,161
1,budget,41,129
4,budget,18,110
4,budget,33,159
1,budget,15,141
5,budget,34,111
1,budget,37,173
5,budget,8,102
5,budget,5,142
4,budget,14,140
4,budget,43,143
1,budget,30,178
5,budget,36,160
4,budget,34,115
3,budget,42,151
