offer_id,offer_type,status,expiration_reason,prop_id_original,prop_id_upgrade,original_adr,upgrade_list_adr,offer_adr,discount_pct,revenue_lift,guest_adults,stay_nights,days_to_arrival,email_opened,email_clicked,offer_booked,offer_expired
hist_39916bb4ff20,original,opened,,prop_saud8h,prop_8b867z,250,350,306.07,0.44,56.07,1,12,18,1,0,0,0
hist_9f02b9b5f28a,original,ignored,,prop_ohkebg,prop_g0ppb2,450,800,721.92,0.22,271.92,4,4,60,0,0,0,0
hist_ca450e491c7c,original,opened,,prop_c88oq1,prop_wd9nox,400,500,465.42,0.35,65.42,1,7,33,1,0,0,0
hist_f72656ad20ca,original,opened,,prop_3nrojh,prop_ohkebg,120,450,332.59,0.36,212.59,4,2,56,1,0,0,0
hist_aaecccf0902c,original,opened,,prop_odd9x1,prop_ohkebg,220,450,376.97,0.32,156.97,2,7,21,1,0,0,0
hist_25fcc3845199,original,opened,,prop_ohkebg,prop_wd9nox,450,500,488.83,0.22,38.83,4,9,40,1,0,0,0
hist_5e094d63ad4c,original,ignored,,prop_8b867z,prop_wd9nox,350,500,444.27,0.37,94.27,3,4,36,0,0,0,0
hist_167729ce79a7,original,opened,,prop_saud8h,prop_c88oq1,250,400,330.61,0.46,80.61,3,12,16,1,0,0,0
hist_a5f6c28093de,original,ignored,,prop_saud8h,prop_8b867z,250,350,306.86,0.43,56.86,3,14,17,0,0,0,0
hist_ed8f80eb7e84,original,opened,,prop_odd9x1,prop_c88oq1,220,400,359.81,0.22,139.81,4,7,28,1,0,0,0
hist_65fb43d8c95e,original,ignored,,prop_odd9x1,prop_8b867z,220,350,307.88,0.32,87.88,4,14,20,0,0,0,0
hist_86046549764b,original,purchased,,prop_le1jwd,prop_ohkebg,180,450,315.37,0.5,135.37,2,8,48,1,1,1,0
hist_37e423249ab7,original,opened,,prop_3nrojh,prop_saud8h,120,250,214.37,0.27,94.37,4,9,36,1,0,0,0
hist_97dd177b6de5,original,ignored,,prop_xsf7c1,prop_g0ppb2,150,800,497.73,0.47,347.73,3,10,11,0,0,0,0
hist_87fafcd27c3f,original,opened,,prop_wd9nox,prop_g0ppb2,500,800,720.35,0.27,220.35,1,14,59,1,0,0,0
hist_69809cce9f87,original,ignored,,prop_wd9nox,prop_g0ppb2,500,800,675.5,0.42,175.5,4,12,34,0,0,0,0
hist_84ddeddf4f74,original,ignored,,prop_odd9x1,prop_c88oq1,220,400,351.86,0.27,131.86,1,2,32,0,0,0,0
hist_674a9ebd8273,original,ignored,,prop_c88oq1,prop_g0ppb2,400,800,658.45,0.35,258.45,1,6,42,0,0,0,0
hist_5496639003ac,original,ignored,,prop_le1jwd,prop_8b867z,180,350,308.34,0.25,128.34,4,2,40,0,0,0,0
hist_da891d706ece,original,expired,target-property-booked,prop_le1jwd,prop_08y3id,180,280,248.59,0.31,68.59,2,4,39,1,0,0,1
hist_f1e7f210e723,fallback,ignored,,prop_le1jwd,prop_8b867z,180,350,287.03,0.37,107.03,2,4,39,0,0,0,0
hist_bd19687bf328,original,ignored,,prop_0f4a8i,prop_saud8h,100,250,176.98,0.49,76.98,3,12,25,0,0,0,0
hist_216661fa84fd,original,ignored,,prop_ohkebg,prop_g0ppb2,450,800,651.45,0.42,201.45,2,13,34,0,0,0,0
hist_206561e08e63,original,opened,,prop_08y3id,prop_c88oq1,280,400,362.3,0.31,82.3,3,3,11,1,0,0,0
hist_b579f835779c,original,ignored,,prop_3nrojh,prop_08y3id,120,280,239.06,0.26,119.06,3,10,21,0,0,0,0
hist_86dd4baaece2,original,ignored,,prop_odd9x1,prop_08y3id,220,280,260.71,0.32,40.71,4,13,23,0,0,0,0
hist_c2d269b46349,original,ignored,,prop_8b867z,prop_g0ppb2,350,800,690.66,0.24,340.66,2,14,5,0,0,0,0
hist_c6baba5cf5bc,original,clicked,,prop_c88oq1,prop_ohkebg,400,450,430.42,0.39,30.42,1,6,53,1,1,0,0
hist_24e64e2c319e,original,opened,,prop_c88oq1,prop_wd9nox,400,500,474.74,0.25,74.74,4,10,52,1,0,0,0
hist_5d112b4a06c0,original,opened,,prop_wd9nox,prop_g0ppb2,500,800,704.24,0.32,204.24,1,9,15,1,0,0,0
hist_f2572d3acc5e,original,opened,,prop_odd9x1,prop_c88oq1,220,400,314.43,0.48,94.43,3,5,32,1,0,0,0
hist_8a5ffdfa447f,original,opened,,prop_0f4a8i,prop_c88oq1,100,400,314.12,0.29,214.12,3,9,30,1,0,0,0
hist_fbf28be87dc9,original,opened,,prop_08y3id,prop_g0ppb2,280,800,660.05,0.27,380.05,1,3,22,1,0,0,0
hist_eb15d618d17b,original,opened,,prop_saud8h,prop_8b867z,250,350,321.23,0.29,71.23,3,3,42,1,0,0,0
hist_5f5111c96bf1,original,ignored,,prop_c88oq1,prop_g0ppb2,400,800,640.2,0.4,240.2,4,8,18,0,0,0,0
hist_a6a762d2332e,original,opened,,prop_3nrojh,prop_c88oq1,120,400,321.0,0.28,201.0,2,10,41,1,0,0,0
hist_fa9e456ee669,original,ignored,,prop_c88oq1,prop_ohkebg,400,450,427.7,0.45,27.7,2,7,18,0,0,0,0
hist_a9de65ca6688,original,opened,,prop_3nrojh,prop_odd9x1,120,220,197.42,0.23,77.42,4,6,37,1,0,0,0
hist_64d8b951a036,original,expired,target-property-booked,prop_saud8h,prop_08y3id,250,280,268.25,0.39,18.25,1,14,49,1,0,0,1
hist_044bf93430a0,fallback,ignored,,prop_saud8h,prop_ohkebg,250,450,385.19,0.32,135.19,1,14,49,0,0,0,0
hist_3010c4ce1ba3,original,opened,,prop_c88oq1,prop_ohkebg,400,450,426.08,0.48,26.08,2,6,50,1,0,0,0
hist_65c3e7236d63,original,ignored,,prop_saud8h,prop_ohkebg,250,450,375.03,0.37,125.03,2,5,55,0,0,0,0
hist_34f6f6a9641a,original,ignored,,prop_8b867z,prop_g0ppb2,350,800,687.36,0.25,337.36,3,11,43,0,0,0,0
hist_940405f3f632,original,ignored,,prop_le1jwd,prop_08y3id,180,280,251.24,0.29,71.24,1,10,21,0,0,0,0
hist_989c493c9a56,original,ignored,,prop_3nrojh,prop_ohkebg,120,450,367.75,0.25,247.75,1,14,33,0,0,0,0
hist_5a50052c1261,original,opened,,prop_3nrojh,prop_xsf7c1,120,150,142.01,0.27,22.01,1,2,60,1,0,0,0
hist_1ab97c7c4eda,original,opened,,prop_le1jwd,prop_odd9x1,180,220,203.02,0.42,23.02,1,14,58,1,0,0,0
hist_ce4a85b0295b,original,opened,,prop_8b867z,prop_c88oq1,350,400,377.77,0.44,27.77,3,3,39,1,0,0,0
hist_dd7720c0f992,original,ignored,,prop_wd9nox,prop_g0ppb2,500,800,736.82,0.21,236.82,1,11,36,0,0,0,0
hist_3c50123032ae,original,ignored,,prop_08y3id,prop_g0ppb2,280,800,548.54,0.48,268.54,3,7,35,0,0,0,0
hist_bc81509f5c9f,original,ignored,,prop_xsf7c1,prop_wd9nox,150,500,354.43,0.42,204.43,1,6,48,0,0,0,0
hist_6bcbcd15ff2f,original,ignored,,prop_wd9nox,prop_g0ppb2,500,800,739.69,0.2,239.69,1,8,24,0,0,0,0
hist_04dee2507866,original,ignored,,prop_ohkebg,prop_wd9nox,450,500,489.65,0.21,39.65,4,4,52,0,0,0,0
hist_dc9f3811b593,original,opened,,prop_saud8h,prop_ohkebg,250,450,407.83,0.21,157.83,3,14,37,1,0,0,0
hist_d6160a07b3a0,original,clicked,,prop_3nrojh,prop_ohkebg,120,450,373.69,0.23,253.69,3,9,20,1,1,0,0
hist_750fbc498c28,original,opened,,prop_le1jwd,prop_c88oq1,180,400,300.48,0.45,120.48,2,10,54,1,0,0,0
hist_9d47ac3d3c9b,original,ignored,,prop_ohkebg,prop_g0ppb2,450,800,683.16,0.33,233.16,1,10,7,0,0,0,0
hist_c2dba6f9996f,original,ignored,,prop_3nrojh,prop_odd9x1,120,220,182.42,0.38,62.42,2,14,12,0,0,0,0
hist_9c0fe2afdd58,original,opened,,prop_0f4a8i,prop_xsf7c1,100,150,131.72,0.37,31.72,4,10,47,1,0,0,0
hist_502c8e6d4ec8,original,ignored,,prop_c88oq1,prop_g0ppb2,400,800,692.9,0.27,292.9,4,10,13,0,0,0,0
hist_f6ff9a8ac0e6,original,opened,,prop_xsf7c1,prop_g0ppb2,150,800,542.56,0.4,392.56,3,14,50,1,0,0,0
hist_1600e77d08f3,original,opened,,prop_odd9x1,prop_wd9nox,220,500,365.59,0.48,145.59,4,6,50,1,0,0,0
hist_37a8234ba8a2,original,opened,,prop_odd9x1,prop_saud8h,220,250,235.08,0.5,15.08,2,2,50,1,0,0,0
hist_85ca10fde7dd,original,ignored,,prop_le1jwd,prop_g0ppb2,180,800,581.46,0.35,401.46,2,7,55,0,0,0,0
hist_131145dc2836,original,ignored,,prop_c88oq1,prop_wd9nox,400,500,469.98,0.3,69.98,3,7,55,0,0,0,0
hist_da8ec1e389b0,original,ignored,,prop_saud8h,prop_8b867z,250,350,308.03,0.42,58.03,3,7,16,0,0,0,0
hist_59037e5e7e91,original,ignored,,prop_odd9x1,prop_saud8h,220,250,241.72,0.28,21.72,3,4,39,0,0,0,0
hist_046f357feae7,original,ignored,,prop_le1jwd,prop_8b867z,180,350,315.06,0.21,135.06,1,12,50,0,0,0,0
hist_1bec263f3a09,original,ignored,,prop_0f4a8i,prop_xsf7c1,100,150,138.15,0.24,38.15,4,5,44,0,0,0,0
hist_c1603320064e,original,ignored,,prop_ohkebg,prop_wd9nox,450,500,479.12,0.42,29.12,1,14,26,0,0,0,0
hist_52387133b35e,original,ignored,,prop_08y3id,prop_c88oq1,280,400,359.44,0.34,79.44,1,12,60,0,0,0,0
hist_34430804bb55,original,ignored,,prop_wd9nox,prop_g0ppb2,500,800,657.71,0.47,157.71,3,7,56,0,0,0,0
hist_891acc0020e9,original,clicked,,prop_wd9nox,prop_g0ppb2,500,800,674.56,0.42,174.56,2,10,38,1,1,0,0
hist_d6aeef05d307,original,opened,,prop_saud8h,prop_8b867z,250,350,323.74,0.26,73.74,3,3,35,1,0,0,0
hist_35a64f9bcce7,original,ignored,,prop_xsf7c1,prop_g0ppb2,150,800,498.61,0.46,348.61,1,6,34,0,0,0,0
hist_946b1ad791c7,original,clicked,,prop_xsf7c1,prop_08y3id,150,280,237.6,0.33,87.6,1,10,8,1,1,0,0
hist_4862db469927,original,expired,time-expired,prop_3nrojh,prop_odd9x1,120,220,181.92,0.38,61.92,4,8,39,1,0,0,1
hist_7653d2382665,fallback,ignored,,prop_3nrojh,prop_ohkebg,120,450,347.72,0.31,227.72,4,8,39,0,0,0,0
hist_21a5b7b59efc,original,ignored,,prop_08y3id,prop_g0ppb2,280,800,640.55,0.31,360.55,4,4,56,0,0,0,0
hist_fae07765b12c,original,ignored,,prop_saud8h,prop_ohkebg,250,450,409.47,0.2,159.47,2,5,44,0,0,0,0
hist_035e0a84b042,original,opened,,prop_ohkebg,prop_wd9nox,450,500,486.6,0.27,36.6,4,8,8,1,0,0,0
hist_00a353d8d811,original,ignored,,prop_xsf7c1,prop_g0ppb2,150,800,640.66,0.25,490.66,4,11,24,0,0,0,0
hist_cec04235a814,original,ignored,,prop_8b867z,prop_g0ppb2,350,800,633.79,0.37,283.79,2,6,38,0,0,0,0
hist_e13ea440372d,original,ignored,,prop_3nrojh,prop_8b867z,120,350,277.52,0.32,157.52,4,14,14,0,0,0,0
hist_800d3221ece9,original,opened,,prop_ohkebg,prop_g0ppb2,450,800,664.72,0.39,214.72,3,5,51,1,0,0,0
hist_fab92a041178,original,ignored,,prop_0f4a8i,prop_ohkebg,100,450,347.33,0.29,247.33,1,4,18,0,0,0,0
hist_a5eb0fdf9a73,original,ignored,,prop_saud8h,prop_g0ppb2,250,800,661.64,0.25,411.64,3,2,15,0,0,0,0
hist_5d29261bf19b,original,opened,,prop_xsf7c1,prop_saud8h,150,250,221.12,0.29,71.12,2,3,56,1,0,0,0
hist_8da24492ccdf,original,opened,,prop_0f4a8i,prop_g0ppb2,100,800,584.57,0.31,484.57,4,14,59,1,0,0,0
hist_a52dca2b931c,original,ignored,,prop_0f4a8i,prop_xsf7c1,100,150,128.59,0.43,28.59,1,13,42,0,0,0,0
hist_1de15cb664b2,original,clicked,,prop_saud8h,prop_ohkebg,250,450,365.24,0.42,115.24,1,4,34,1,1,0,0
hist_c22d569bdce2,original,opened,,prop_0f4a8i,prop_8b867z,100,350,285.92,0.26,185.92,2,12,19,1,0,0,0
hist_0c972dceb354,original,opened,,prop_3nrojh,prop_c88oq1,120,400,312.47,0.31,192.47,3,10,14,1,0,0,0
hist_8876d5a8f9b0,original,ignored,,prop_xsf7c1,prop_le1jwd,150,180,171.97,0.27,21.97,1,8,58,0,0,0,0
hist_5dae5ec3f547,original,ignored,,prop_0f4a8i,prop_3nrojh,100,120,115.55,0.22,15.55,4,8,31,0,0,0,0
hist_9df9f7becca8,original,opened,,prop_3nrojh,prop_g0ppb2,120,800,664.0,0.2,544.0,4,4,48,1,0,0,0
hist_35b79daf539c,original,ignored,,prop_c88oq1,prop_wd9nox,400,500,463.28,0.37,63.28,2,12,22,0,0,0,0
hist_e3b8288d84d0,original,ignored,,prop_xsf7c1,prop_saud8h,150,250,220.64,0.29,70.64,2,7,11,0,0,0,0
hist_53cc0db90aaf,original,ignored,,prop_0f4a8i,prop_saud8h,100,250,204.67,0.3,104.67,4,7,18,0,0,0,0
hist_c65d7d9a6172,original,ignored,,prop_odd9x1,prop_wd9nox,220,500,421.39,0.28,201.39,1,10,46,0,0,0,0
hist_4c8e91f1fee2,original,opened,,prop_odd9x1,prop_wd9nox,220,500,413.71,0.31,193.71,3,9,20,1,0,0,0
hist_cf5b3cfc24c5,original,ignored,,prop_08y3id,prop_8b867z,280,350,317.5,0.46,37.5,1,5,1,0,0,0,0
hist_6057f99f5b71,original,ignored,,prop_c88oq1,prop_ohkebg,400,450,438.34,0.23,38.34,3,4,7,0,0,0,0
hist_78806ece1684,original,opened,,prop_odd9x1,prop_ohkebg,220,450,382.17,0.29,162.17,1,12,29,1,0,0,0
hist_f81dc978363f,original,opened,,prop_le1jwd,prop_8b867z,180,350,285.63,0.38,105.63,1,8,58,1,0,0,0
hist_d1917045d3b7,original,opened,,prop_saud8h,prop_ohkebg,250,450,366.55,0.42,116.55,1,5,4,1,0,0,0
hist_2b6ebfe25f4e,original,opened,,prop_xsf7c1,prop_c88oq1,150,400,306.86,0.37,156.86,4,11,37,1,0,0,0
hist_563a5cbcb69e,original,opened,,prop_c88oq1,prop_wd9nox,400,500,453.3,0.47,53.3,4,9,4,1,0,0,0
hist_5f70a3de7d10,original,ignored,,prop_xsf7c1,prop_saud8h,150,250,219.55,0.3,69.55,1,4,7,0,0,0,0
hist_809982ba3353,original,opened,,prop_saud8h,prop_wd9nox,250,500,398.02,0.41,148.02,2,4,42,1,0,0,0
hist_6a5edceaab56,original,ignored,,prop_c88oq1,prop_ohkebg,400,450,437.83,0.24,37.83,1,9,6,0,0,0,0
hist_429bd450dec1,original,ignored,,prop_0f4a8i,prop_3nrojh,100,120,115.85,0.21,15.85,1,14,15,0,0,0,0
hist_55a9e0f3a139,original,opened,,prop_odd9x1,prop_8b867z,220,350,317.24,0.25,97.24,3,2,10,1,0,0,0
hist_7232eaad877e,original,opened,,prop_08y3id,prop_ohkebg,280,450,412.39,0.22,132.39,1,2,10,1,0,0,0
hist_857a139cd323,original,ignored,,prop_wd9nox,prop_g0ppb2,500,800,695.06,0.35,195.06,4,10,28,0,0,0,0
hist_7ca41425a847,original,opened,,prop_xsf7c1,prop_ohkebg,150,450,370.41,0.27,220.41,4,11,57,1,0,0,0
hist_43766fc88071,original,ignored,,prop_saud8h,prop_8b867z,250,350,321.17,0.29,71.17,4,14,8,0,0,0,0
hist_9886027e4599,original,ignored,,prop_08y3id,prop_g0ppb2,280,800,643.37,0.3,363.37,1,13,33,0,0,0,0
hist_7bd169f17344,original,clicked,,prop_saud8h,prop_wd9nox,250,500,448.39,0.21,198.39,2,3,45,1,1,0,0
